类别,代码,MCP简称,MCP全称,数据日期,收盘原值,涨跌幅百分数,收盘源单位标签,证据,状态
正式,883957.TI,同花顺全A(沪深京),同花顺全A(沪深京)(同花顺),2026-09-04,1881.545,-0.2964,元（待确认）,MCP-01.json,MCP辅助核对；REST未验证
正式,700050.TI,同花顺微盘,同花顺微盘指数,2026-09-04,1728.421,0.6451,元（待确认）,MCP-02.json,MCP辅助核对；REST未验证
正式,700047.TI,同花顺大盘股,同花顺大盘股指数,2026-09-04,34290.314,-0.7986,元（待确认）,MCP-02.json,MCP辅助核对；REST未验证
正式,700035.TI,同花顺激进投资,同花顺激进投资风格指数,2026-09-04,1893.066,-0.7612,元（待确认）,MCP-02.json,MCP辅助核对；REST未验证
正式,700034.TI,同花顺保守投资,同花顺保守投资风格指数,2026-09-04,2240.816,0.0934,元（待确认）,MCP-02.json,MCP辅助核对；REST未验证
正式,700038.TI,同花顺高动量,同花顺高动量风格指数,2026-09-04,1491.758,-1.4974,元（待确认）,MCP-02.json,MCP辅助核对；REST未验证
正式,700039.TI,同花顺低动量,同花顺低动量风格指数,2026-09-04,2062.341,0.6456,元（待确认）,MCP-03.json,MCP辅助核对；REST未验证
正式,700033.TI,同花顺高估值,同花顺高估值风格指数,2026-09-04,1362.148,-1.2313,元（待确认）,MCP-03.json,MCP辅助核对；REST未验证
正式,700032.TI,同花顺低估值,同花顺低估值风格指数,2026-09-04,2290.757,0.4447,元（待确认）,MCP-03.json,MCP辅助核对；REST未验证
正式,700036.TI,同花顺高盈利,同花顺高盈利投资风格指数,2026-09-04,1667.444,-0.2868,元（待确认）,MCP-03.json,MCP辅助核对；REST未验证
正式,700037.TI,同花顺低盈利,同花顺低盈利投资风格指数,2026-09-04,2298.415,-0.1957,元（待确认）,MCP-03.json,MCP辅助核对；REST未验证
正式,700046.TI,同花顺超大盘股,同花顺超大盘股指数,2026-09-04,11163.687,0.1384,元（待确认）,MCP-04.json,MCP辅助核对；REST未验证
正式,700048.TI,同花顺中盘,同花顺中盘指数,2026-09-04,57485.953,-1.0935,元（待确认）,MCP-04.json,MCP辅助核对；REST未验证
正式,700049.TI,同花顺小盘,同花顺小盘指数,2026-09-04,21047.917,-0.773,元（待确认）,MCP-04.json,MCP辅助核对；REST未验证
正式,883927.TI,高股息股,高股息股(同花顺),2026-09-04,2326.562,0.5534,元（待确认）,MCP-04.json,MCP辅助核对；REST未验证
正式,883958.TI,昨日连板,昨日连板(同花顺),2026-09-04,5797.42,-0.8934,元（待确认）,MCP-04.json,MCP辅助核对；REST未验证
正式,883979.TI,昨日首板表现,昨日首板表现(同花顺),2026-09-04,2320.033,-0.5627,元（待确认）,MCP-05.json,MCP辅助核对；REST未验证
正式,883900.TI,昨日涨停表现,昨日涨停表现(同花顺),2026-09-04,2720.306,-0.6274,元（待确认）,MCP-05.json,MCP辅助核对；REST未验证
对照,700008.TI,同花顺沪深全A,同花顺沪深全A指数,2026-09-04,4260.577,-0.6532,元（待确认）,MCP-05.json,MCP辅助核对；REST未验证
对照,700030.TI,同花顺小盘,同花顺小盘风格指数,2026-09-04,2837.319,0.0858,元（待确认）,MCP-05.json,MCP辅助核对；REST未验证
对照,700031.TI,同花顺大盘,同花顺大盘风格指数,2026-09-04,1448.418,-0.7158,元（待确认）,MCP-05.json,MCP辅助核对；REST未验证
